时间	转发数	评论数	点赞数	微博内容	字数	转发	转发内容	
01-22	7	164	46	晴冷但干燥，阴冷但湿润，你们pick哪一个？ 	40	否	
01-22	0	35	40	夜间气温普遍在14-15℃，天气持续干冷，昼夜温差较大，夜间和白天就像两个季节 	79	否	
01-22	2	14	12	【下班天气】空气干燥：预计17-20时，全市天晴干燥；气温15-18℃；相对湿度30%-55%；吹和缓到清劲的北风，沿海和高地阵风4-5级；能见度5-10公里，部分地区有灰霾。傍晚气温降低，注意适时添衣保暖；火险预警信号生效中，请注意居家用火安全。 深圳市气象台2019年01月22日17时02网页链接 	275	否	
01-22	4	59	31	年底了，都开始爆照了	0	是	#有酒窝的人颜值都不低#【一场因酒窝引起的纷争】看了@William威廉陈伟霆 、@李易峰……偶像们的小酒窝。气象届不平静了 图一：@星瀚-天津天气 发起挑战图二：气象届颜值担当！前来迎战~图三：@晨曦-天津天气 美女一枚！ 图四：@三美-天津气象 “那么好看怎么办！！” 图五：气象届的“跑男”凯凯 @郑恺 像你么？图六：小天携娃上阵，拼了！图七：最开心的笑~；图八：小天们的领导！笑起来总是那么平易近人~；图九：小姐姐说“没事儿，酒窝不够，我的手窝可以凑~”不过，还是露出甜甜的笑！@气象北京 @龙江气象 @江淮气象 @河南气象@河北天气@广东天气@深圳天气@中国天气……#有酒窝的人颜值都不低#你想戳谁的酒窝 
01-22	4	18	27	【深圳市天气提示】未来五天天晴干燥：23-27日晴天干燥，部分时间有轻微到轻度霾，23日早晨最低气温10-11℃，白天气温逐渐回升，昼夜温差大，白天温暖；28日多云，湿度回升。天气持续干燥，日温差大，早晚较冷，需加强疾病预防和防火安全宣传和管理工作。深圳市气象台2019年01网页链接 	274	否	
01-22	2	58	47	全市普遍在18℃左右，湿度35-45%，非常干燥，多喝万能开水。 	62	否	
01-22	14	21	29	#春运这些天# #深圳天气温暖回家# 高峰期，早点候车。	0	是	【春运首日机器人战警亮相深圳北，高峰期乘高铁请提前2小时到站！】2019年春运于1月21日拉来帷幕。随着深圳铁路网络的不断完善，高铁已经成为春运的主力。记者从深圳北站获悉，今年春运，深圳北本站预计开行动车组列车近1.2万对，发送旅客596.72万人，其中客流高峰期单日旅客发送量将攀升至24万。春运首日，深圳北站推出了多项便利措施，机器人战警也首次在深圳春运中亮相。春运首日机器人战警亮相深圳北，高峰期乘高铁请提前2小时到站！
01-22	160	214	150	如果今年真的入冬失败的话，那么今年入春时间也就不好计算了，这意味着我们今年将直接进入夏季，参考2017年… 	108	否	
01-22	6	41	89	接下来几天都是这种天气，晒被子的机会还有很多	0	是	彦祖@深圳天气 来晒太阳 晒被子  深圳 · 人民南 
01-22	22	229	680	2018气象类微博第一！我们的军功章里全是你们感谢大家对深圳天气团队的支持，新的一年我们共同前进，么么么么么么哒 	128	否	
01-22	10	65	102	广东春节，啥是佩奇？	0	是	想认识一下这位壕 
01-22	9	60	131	本周天气主要以晴朗干燥为主，非常适合洗晒，春节前大扫除好时机，就缺放假。 	78	否	
01-22	2	46	37	相对湿度低，干燥。晴朗，而且很蓝的天，可惜能见度不怎么好。 	64	否	
01-22	7	129	84	早上全市最低气温10℃左右，感觉到冷的吗？但是穿多的中午得脱。 	73	否	
01-22	3	18	18	今天各位是不是开始北上回家了？路过清远连州时要注意大雾天气的影响。@深圳交警	0	是	【话春运 聊天气】#清远春运# 2019年1月22日，截至今早08:30，清远连州浓雾弥漫，能见度不足200米。视频监控中可见，连州市丰阳服务区路段能见度极差，请今早北上出省的朋友通行该路段时注意减速慢行，确保安全。@深圳天气@广州天气 @韶关天气@江西气象微博 @湖南省天气 
01-22	6	46	46	【昼夜温差大】早晨晴冷干燥，目前全市气温普遍在10-11℃，但昼夜温差较大，预计白天最高气温19-20℃，早晚较冷，请各位注意适时添减衣物。 	130	否	
01-22	4	8	28	【上班天气】火险预警信号生效中：预计早晨6-9时，全市晴天间多云；气温11-14℃；相对湿度45%-75%；吹和缓到清劲的北风，沿海和高地阵风6-7级；能见度5-15公里。早晨晚气温低，昼夜温差较大，注意适时添衣保暖；火险预警信号生效中，请注意居家用火安全。 深圳市气象台2019年01网页链接 	275	否	
01-22	5	6	20	【今日天气】我市晴天间多云，天气干燥；气温11-19℃；偏北风2-3级，沿海和高地最大阵风6-7级；相对湿度45%-75% 深圳市气象台2019年01月22日05时48分发布。网页链接 	163	否	
01-21	7	82	75	【明早11℃左右】冷空气已经到来一天了，但许多朋友都说没感觉，毕竟这股冷空气没有“湿冷魔法技能”，而且未来两天仍以干冷为主。但明后两天早晚气温低，昼夜温差大，各位还是注意早上出门穿厚一点，另外火险预警信号也在生效中，注意补水哦。 	238	否	
01-21	1	7	12	【下班天气】干燥：预计17-20时，全市多云间晴天；气温15-18℃；相对湿度50%-75%；吹和缓的偏北风，沿海和高地阵风6级左右；能见度6-15公里。晚间气温下降，注意及时添衣；火险预警生效中，注意用火安全。 深圳市气象台2019年01月21日17时24分发布。网页链接 	249	否	
01-21	2	35	17	【2019年春运天气趋势】今年春运期间我国南方降雨或雨雪天气偏多。节前返乡时段还有2次雨雪天气过程：1月27-29日和2月1-2日，其中2月1-2日广东大部分地区有小到中雨，粤北高寒山区有雨夹雪；江西、福建高寒山区有道路冰冻；贵州、湖南部分地区有冻雨。返乡时段重点关注2月初至春节前的雨雪天气对北上交 ...全文	522	否	
01-21	1	3	11	【深圳市火险预警】深圳市气象台于2019年01月21日16时10分在全市发布火险预警，预计我市天气将持续干燥，最低相对湿度降至50%以下，有关主管部门加大巡山护林力度，严格管制野外火源。网页链接 	189	否	
01-21	5	112	122	短袖首席为了尊重冷空气，在接受电视采访前专门穿上了外套xswl 	58	否	
01-21	9	29	26	【深圳市天气提示】未来五天天晴干燥：22-23日晴朗干燥，早晚寒冷，最低气温10-11℃，22日11-19℃，沿海和高地有6-7级阵风；24-26日晴天干燥，白天气温回升，早晚较清凉；周日27日多云，湿度上升。早晚较冷，注意疾病预防，空气趋于干燥，建议加强防火安全宣传和管理工作。深圳网页链接 	275	否	
01-21	3	16	27	漂亮的图案背后的科学原理，冬天的云图上经常能在济州岛找到。	0	是	#气象科普# 科普 【大气的舞蹈】受冷空气影响，今天上午的卫星云图上，在济州岛的南部出现了一串明显的“卡门涡街”，是什么东东？来一起涨姿势。 卫星云图上美丽的涡旋 
01-21	2	115	62	有阳光真好，完全感觉不到冷，心疼粤北的同学 @韶关天气 	52	否	
01-21	1	50	32	珠三角北部的云层逐渐稀疏，说不定中午我们也能稍微见一下阳光 	58	否	
01-21	3	107	37	今早全市最低气温在12-15度之间，不过因为没下雨，所以似乎体感并不是特别冷。大家觉得呢？ 	85	否	
01-21	6	48	34	【上班天气】早晨天气清凉：预计早晨6-9时，全市阴天间多云，天气清凉；气温14-15℃；相对湿度60%-75%；吹和缓到清劲的北风，沿海和高地阵风6-8级；能见度15-20公里。早晨天气清凉，出门注意添衣保暖，北风大，远离广告牌和高大建筑物，防止高空坠物。 深圳市气象台2019年01月2网页链接 	275	否	
01-21	5	10	29	【今日天气】我市多云,部分时间可见阳光；气温14-19℃；北风3级，沿海和高地阵风7级；相对湿度55%-75% 深圳市气象台2019年01月21日05时21分发布。网页链接 	154	否	
01-21	6	23	46	【深圳市大风提示】受冷空气影响，预计今天夜间到明天早晨我市沿海和高地偏北风较大，最大阵风可达7级左右，明天白天风力逐渐减弱，请注意防风。深圳市气象台2019年01月21日01时05分发布网页链接 	191	否	
01-20	8	93	99	北风正在加大，预计明早气温在14℃左右，体感较冷，不利于周一早晨起床。 	74	否	
01-20	19	208	92	冷空气大军正在逼近，大家感受到了没？ 	42	否	
01-20	5	44	48	能见度较差，天气又不明朗了，大家注意交通安全。不过，冷空气即将到来，该穿的还是要穿上，早晚可是很凉的！ 	102	否	
01-20	0	11	19	【下班天气】预计17-20时，全市多云间阴天；气温22-24℃，相对湿度60%-80%，偏北风2-3级；能见度3-20公里。部分地区能见度较低，请注意交通安全。 深圳市气象台2019年01月20日16时43分发布。网页链接 	195	否	
01-20	6	25	40	【深圳未来一周天气】下周转干冷：周一（21日）受冷空气影响，有分散小雨，沿海和高地最大阵风7级左右，天气转凉，气温14-19℃；周二周三（22-23日）晴朗干燥，早晚寒冷，早晨最低气温10℃左右；周四至周六（24-26日）晴天干燥，气温回升，早晚较冷；周日（27日）多云，湿度上升网页链接 	276	否	
01-20	27	110	79	【冷空气正在路上，请给“大寒”一个面子】今日大寒，目前全市气温普遍在25-26℃，我们不仅将冬至过成“夏至”，今天大寒又“满头大汗”。然而新一股冷空气前锋已抵达广州，预计今天夜间起受冷空气影响，北风加大，22-23日早晨最低气温在10℃左右，本次降温以晴冷干燥为主，也是深圳春节前最后一 ...全文	344	否	
01-20	17	6	56		0	是	【这是地球的#十年对比挑战#】地球的变化，可能比我们想象中更快！敬畏生命，关爱自然，一起守护我们共同的家。支持请转！  NowThis的秒拍视频 
01-20	3	53	40	#午间天气#气温22-25℃，与昨天相比升温不少，中午晒晒晾晾也是可以的，穿会儿短袖也是可以的。 	89	否	
01-20	4	32	58	不想回答，好气哦//@江西气象微博: #2019铁路春运#开始，第一个和第三个也就算了，第二个问题？字字诛心@深圳天气 要不你来回答一下	0	是	明天春运就开始了，扎心三问，票买好了吗？对象找到了吗？过年还下雪吗#一个都不想回答# 
01-20	26	123	138	哦，今日是大寒。 	16	否	
01-20	2	25	32	大部分地区有轻雾，云量较多，目前气温18-19摄氏度。就算不是明朗天气，也没有致郁的理由，周末就够你美的！ 	109	否	
01-20	0	2	13	#2019春运天气#	0	是	#2019春运天气# 【南方地区有降水 西藏西部偏南地区局地有较强降雪】20日至21日，受南支槽和冷空气共同影响，江南、华南、西南地区东部和南部等地有小雨，部分地区中雨，并将出现4～6℃降温。此外，20日早晨至上午，安徽南部、四川盆地东南部、云南南部等地的部分地区有大雾天气。 
01-20	6	29	30	XX已经慢慢远去	0	是	#2019春运天气# 【今日，大寒】①“小寒大寒，冻成冰团”，此时节风大、低温，地面积雪不化，寒潮南下频繁；②注意保暖，适当运动，凡事不要过度操劳；③大寒是呼吸道疾病高发期，老年人还需预防心脑血管病；④冬季情绪易低落，要保持心情舒畅，心境平和。下一个节气，立春，春天要来啦！ 
01-20	2	19	26	【上班天气】预计早晨6-9时，全市阴天，局部有零星小雨；气温17-19℃，相对湿度70%-90%，东北风2-3级；能见度5-20公里。天气条件对交通没有明显不利影响。早晨天气清凉，可以穿件外套出门。 深圳市气象台2019年01月20日05时36分发布。网页链接 	235	否	
01-20	3	9	23	【今日天气】我市阴天间多云，局部有零星小雨；气温17-23℃；东北风2-3级，阵风5-6级；相对湿度65%-90% 深圳市气象台2019年01月20日05时25分发布。网页链接 	155	否	
01-19	4	82	80	看，天上那亮亮的是什么 	22	否	
01-19	2	62	55	全市普遍出现零星小雨，这是因为冷空气减弱后，偏南暖湿气流开始反攻，预计明天仍将是有零星小雨的天气，冬天还没来，已经有春雨纷纷的感觉了。 	140	否	
01-19	0	47	31	随着海上的回波不断北推 我市相继出现了分散的小雨 不听话的宝宝们今天洗的衣服、鞋；晒的被子都有没有及时收回来呀 	114	否	
01-19	0	54	67	有些雨要用心感受，有些雨就要用脸才能感受到了，比方说现在的 	58	否	
01-19	0	15	14	【下班天气】下班时段气温适宜，傍晚起能见度转差：预计17-20时,全市阴天间多云；气温20-22℃，吹轻微的偏东风；西部地区有轻度灰霾；能见度在4-8公里，夜间能见度稍差，注意交通安全。 深圳市气象台2019年01月19日16时38分发布。网页链接 	231	否	
01-19	9	19	28	【深圳市天气提示】#明天夜间冷空气来深#：20日阴天间多云，有轻雾或霾，偶有零星小雨，气温17-23℃；21日受冷空气影响，有分散小雨，气温下降，北风加大，沿海和高地最大阵风7级左右，22日起转晴朗干燥，22-23日早晨最低气温降至10℃左右，24-26日维持晴朗干燥，日温差大，早晚较冷。下周初沿海和高地 ...全文	320	否	
01-19	0	15	16	#2019春运天气# 返乡的小伙伴看过来哟~	0	是	#2019春运天气# 【知否，知否，春运伊始应是好天气☀️】2019年春运即将拉开帷幕，一直遮遮掩掩不肯露面的太阳，原来卯着劲准备在春运伊始闪亮登产，迎接返乡的小伙伴们呢@深圳天气 具体预报：21日赣北赣中阴天间多云；赣南阴天多云，部分有小雨。22～24日全省多云到晴天。25日受弱冷空气影响，全省风力有所加大，赣北赣中以阴天到多云为主；赣南多云间晴。26～27日全省晴间多云。
01-19	2	28	21	在阳光的滋润下，除东部沿海外，目前全市气温普遍在23-24℃，相比于昨天同一时间上升了4-6℃！！！目前云量已经有所上涨，晒了被子的小伙伴记得早点收回哟~~~ 	147	否	
01-19	2	51	33	兄弟 你不是一个人在感叹眼看着气温蹭蹭蹭的往上窜 我滴个❤呐	0	是	没想到下午阳光还能透一点出来，今天的气温就往上走了 
01-19	2	23	27	#2019春运天气# 虽然离春节还有辣么久 但已经有小伙伴开始疯狂询问春节天气啦下面再次奉上春节期间天气趋势展望，供大家参考哈~（P：我们滴预报是每天都在滚动调整的，具体还请大家临近了关注哟）（一）春运离深时段（1月21日-2月3日），预计冷空气主要出现在1月21-22日、26日和2月 ...全文	623	否	
01-19	1	56	31	#午间天气#目前不少地方的小伙伴都反应外面已经漏了点阳光 预计午间还是可以见到一丝丝阳光的 下午云量转多 气温16-21℃左右 能见度在5-10公里 那么周末的你们 计划都安排上了吗 	171	否	
01-19	23	17	31	#2019春运回家# //@深圳公安: 列车安检的一二三	0	是	#2019春运#【不是所有“年货”都能带上火车！九图教你做春运“文明人”】近日，《啥是佩奇》火了，鼓风机“佩奇”走红网络。警察提醒，携带此类“佩奇”机器乘坐火车一定要将汽油清理干净才行。哪些物品不能带上火车？哪些只能限量携带？火车上丢了东西该怎么办？戳图↓↓文明春运，把爱带回家！ 
01-19	3	82	41	#深圳天气温暖回家# 周末的早上好呀~~~小懒虫们都起床了吗全市能见度普遍在3-8公里，在冷空气离开我们的日子里，全市普遍出现了轻雾和轻度灰霾。预计今天白天，阴天间多云，夜间有零星小雨。 	183	否	
01-19	1	31	25	#春运天气#欢迎━(*｀∀´*)ノ亻!小伙伴们也给咱深圳天气提提建议呀	0	是	周六早啊！想征集个问答：春运路上大家都是通过哪些渠道获取天气信息？大家希望气象部门提供哪些定制、贴心的气象服务？给气象部门提供几点服务改进建议吧！ #2019春运天气# 北京·国家气象中心 
01-19	19	101	89	今天气温比昨天回升了一些呢！部分时间还可以看到太阳哦~啥是冬天？！ 	71	否	
01-19	5	14	30	【上班天气】部分地区有轻雾：预计早晨6-9时，全市阴天间多云；气温15-17℃，偏东风2-3级，相对湿度65%-90%；能见度在4-10公里，中部地区有轻雾，早晨能见度稍差，注意交通安全。 深圳市气象台2019年01月19日05时38分发布。网页链接 	225	否	
01-19	6	11	20	【今日天气】我市阴天间多云，偶有零星小雨，早晚有轻雾或轻微灰霾；气温16-21℃；偏东风2-3级；相对湿度55%-75%。 深圳市气象台2019年01月19日05时19分发布。网页链接 	166	否	
01-18	17	105	95	这是什么神仙话题？该怎么聊？ 	46	否	
01-18	4	33	61	明天的气温在16-21℃，白天体感舒适，春节前还有3股冷空气，而最近的马上就要来了。 	78	否	
01-18	15	190	100	问个问题，啥是冬天？ 	20	否	
01-18	6	61	55	它们都是顺时针旋转的啊！中学地理知识啊各位胖友！	0	是	你们知道这台鼓风机和冷高压有什么共通之处吗？ 
01-18	5	24	36	《今年春节天气如何？》这里给大家整理了一份文字版的春节天气预测，今天的春运天气发布会如果大家没有看的话，就来看看这个精华总结吧~ 今年春节天气如何？ 	147	否	
01-18	7	56	44	你们知道这台鼓风机和冷高压有什么共通之处吗？ 	44	否	
01-18	3	30	38	我们也有零星小雨//@东莞天气: 东莞还有分散小雨	0	是	佩奇是啥？他说明天云量增多啦！（画丑了）@深圳天气 @东莞天气 
01-18	1	9	6	【下班天气】预计17-20时，全市多云；气温15-18℃；相对湿度65%-80%；东北风2-3级；能见度7-10公里。今晚由东北风转东风，湿度上升，有轻微灰霾，注意能见度对交通的影响。 深圳市气象台2019年01月18日17时03分发布。网页链接 	219	否	
01-18	4	37	22	【深圳市天气提示】19-20日气温回升湿度增大 20日夜间起冷空气影响：19-20日多云、短暂时间可见阳光，湿度增大、有分散小雨，早晚有轻雾；20日夜间受冷空气影响，有小雨、气温下降、北风加大，22日转晴朗干燥天气，22-23日最低气温降至10-12℃。21-22日部分时段沿海阵风可达7级网页链接 	275	否	
01-18	1	22	23	中午刚好云量增多，今天的最高气温只有17-18℃。而东莞北边就比较幸运了，在阳光的关照下升到了20度以上。 	99	否	
01-18	8	93	122	佩奇鼓风机把海上的云吹到了深圳上空，所以现在云量增多，今天中午的气温会稍低于昨日。 	82	否	
01-18	2	7	24	春运天气新闻发布会直播！有关天气的部分晚一点会整理一份文字版的给不方便看直播的同学。	0	是	最美遇见你，来直播间跟大家一起聊聊天吧！ 微博直播 
01-18	3	33	19	最美遇见你，来直播间跟大家一起聊聊天吧！ 微博直播 	60	否	
01-18	0	48	46	春运天气发布会马上开始～#深圳天气温暖回家# 	42	否	
01-18	5	63	41	虽然现在温度还比较低，但是阳光非常好，预计中午应该能有大片区域升到20度以上。虽然说是冷空气影响，但是只要有太阳，冷空气就只在早晨和晚上才有一些存在感。#深圳天气温暖回家# 	168	否	
01-18	4	29	29	【上班天气】预计早晨6-9时，全市多云到晴天；气温13-15℃；相对湿度65%-80%；东北风2-3级；能见度5-15公里。早晨体感稍冷，户外活动请注意及时添衣，谨防感冒。 深圳市气象台2019年01月18日05时47分发布。网页链接 	209	否	
01-18	4	10	19	【今日天气】我市多云；气温13-21℃；偏东风2-3级，沿海和高地最大阵风5-6级；相对湿度55%-85% 深圳市气象台2019年01月18日05时30分发布。网页链接 	147	否	
01-17	8	125	90	【明日起气温回升】明天冷空气就减弱了，你们感受到它来过吗？ 	64	否	
01-17	4	55	46	是去看星星？看月亮？还是聊诗词歌赋？	0	是	天文台，是不是这里？@深圳天气 深圳 · 南澳街区 
01-17	7	44	49	俺们的天文台，在西涌那边，据说有时候能看到银河//@_槐槐_:深圳有推荐的赏月观星的地方吗？	0	是	在没有灯光的地方月亮照出了影子，今晚是个赏月观星的好日子，就是天气凉 
01-17	1	17	18	帮帮你//@星木子的夜鱼y:凉爽没所谓，就是一个人赏月有点孤单	0	是	在没有灯光的地方月亮照出了影子，今晚是个赏月观星的好日子，就是天气凉 
01-17	13	18	34	在没有灯光的地方月亮照出了影子，今晚是个赏月观星的好日子，就是天气凉 	68	否	
01-17	0	43	41	虽然今天白天阳光明媚，有点“晒脸”，有的小伙伴还觉得微热，但是明天早晨还是比较清凉的，不要把衣服减的太快哦！明天的阳光就没有今天这么厉害了~不是很建议晒被子啦#深圳天气温暖回家# 	199	否	
01-17	2	6	19	【下班天气】天气清凉，注意添衣保暖#预计17-20时，天气晴朗；气温17-19℃，相对湿度55%-85%；吹和缓的东北风，沿海和高地最大阵风5-6级，能见度大致在7-12公里。天气清凉，请大家注意添衣保暖。 深圳市气象台2019年01月17日16时53分发布。网页链接 	240	否	
01-17	6	31	17	【深圳市天气提示】18-19可见阳光：18-19日多云间阴天，可见阳光，早晚清凉，18日气温14-21℃；20日阴天间多云，间中有零星小雨，气温回升，天气温暖，早晚有轻雾；21日受新一股冷空气影响，阴天有小雨气温下降；展望22日起天气晴朗干燥。未来几天冷暖转换节奏快，注意疾病预防网页链接 	275	否	
01-17	38	116	127	午后阳光普照大地，心情就像是坐上喷射机想晒被子的抓紧时间，毕竟明天午后太阳可就没这么大了！（图片，打一首歌） 	114	否	
01-17	2	93	100	看！云图都是爱你的形状~中午有阳光，还很凉爽，出去晒晒走走吧 	71	否	
01-17	1	62	55	如果你从深圳一路向北，那可能要逐渐加衣服了~是吧？！@韶关天气 	66	否	
01-17	9	219	98	今天是一个不用麻麻说，自己主动穿秋裤的日子早上最低气温普遍在11-12℃，对此次冷空气表示尊重 	107	否	
01-17	10	27	41	【上班天气】早晨较冷，注意添衣保暖：预计早晨6-9时，全市多云；气温11-13℃，相对湿度65%-85%；吹和缓的东北风，沿海和高地最大阵风5-7级，能见度大致在7-12公里。早晨气温较低，请大家注意添衣保暖。 深圳市气象台2019年01月17日05时35分发布。网页链接 	247	否	
01-17	5	9	21	【今日天气】我市多云；气温12-19℃；东北风3级，阵风5-7级；相对湿度65%-85% 深圳市气象台2019年01月17日05时18分发布。网页链接 	131	否	
01-16	14	93	64	【大家觉得现在的温度算是“冷”还是“凉”】其实我们的预报用语是有规范的，现在这样的温度我们一般称为“较jio冷”。大家觉得表中对温度的描述符合直观印象吗？ 	151	否	
01-16	6	44	57	冷不可怕，可怕的是还有风，透心凉，好在明后两天阳光稍微增多了一些 	64	否	
01-16	1	13	19	【深圳市大风提示】受冷空气影响，预计今天夜间我市沿海和高地偏北风较大，最大阵风可达7级左右，明天白天风力逐渐减弱，请注意防风。深圳市气象台2019年01月16日19时25分发布网页链接 	181	否	
01-16	1	44	54	现在全市气温在15度左右，晚上气温会缓慢下降，预计明早最低气温在13度左右。不过好消息是，明天有太阳。 	98	否	
01-16	1	13	15	【下班天气】预计17-20时，全市阴天；气温14-16℃；相对湿度65%-80%；东北风3级，沿海和高地阵风6级左右；能见度普遍在10公里以上。晚间气温清凉，注意及时添衣。 深圳市气象台2019年01月16日16时39分发布。网页链接 	210	否	
01-16	7	33	26	【深圳市天气提示】未来两天阳光增多：17-18日转多云可见阳光，早晚较冷，沿海高地有5-6级阵风，17日气温13-19℃；19-20日气温回升，湿度上升，早晚有轻雾，间中有零星小雨；21日受新一股冷空气影响，阴天有小雨气温下降；展望22日起天气晴朗干燥。冷暖转换节奏快，注意疾病预防。深圳市气象台2019年01 ...全文	312	否	
01-16	2	24	22	【2019年春运天气趋势】预计深圳17-18日可见阳光，19-20日气温回升，间中有雨雾,21日受新一股冷空气影响，有小雨气温下降；广东省粤北山区17-18日有5℃以下的低温，18-19日早晚有轻雾；今年春运天气影响与去年相当，未来45天有3次冷空气过程，分别出现在1月21日、26日和2月1-2日前后，深圳最低气温10℃ ...全文	378	否	
01-16	7	36	34	终于知道下次再有朋友at本君问是什么花的时候该向谁求助了	0	是	#植物小讲堂# 新年“鞭炮”响，千层醉盖万红妆！【红千层】：又称瓶刷子树、红瓶刷、金宝树等，为桃金娘科的常绿灌木或小乔木。叶披针形，似罗汉松叶终年不凋，四季常青。花稠密，聚生于顶端，花形极为奇特呈穗状，且色泽艳丽，可作插花，同时也是庭院观花、行道景观、小区绿化的首选树种。 
01-16	1	37	38	整个广东都在云层的覆盖下，沿海偶尔能漏出一点缝，所以今天短暂时间有同学见了一眼太阳。不要着急，明天中午就能真正见到太阳了。 	122	否	
01-16	4	132	63	天色渐趋明朗，有些地方云已经变薄，甚至怀疑某些地方可能偷偷出了一下太阳 	80	否	
01-16	16	38	34	2019年1月16日至1月22日，深圳市流感指数为Ⅱ级（易发生），未来一周本市流感流行强度高，流感病例多，提醒市民：　　1、保持室内环境卫生，经常开窗通风；　　2、保持健康饮食、适量运动及充足休息；　　3、勤洗手，打喷嚏或咳嗽时用手帕或纸巾掩住口鼻；　　4、避免前往人群密集的公共场所， ...全文	440	否	
01-16	3	132	65	现在全市温度14度左右，比昨天低了3-4度。这个温度各位还满意吗？反正一路小跑来上班的天气君一点都没感觉到冷 	109	否	
01-16	0	45	30	【气温下降，风力加大】今天相对于昨天，气温有3℃左右下降，请注意保暖。沿海和高地最大阵风7级左右，其它地区最大阵风5-6级，请注意防风！ 	131	否	
01-16	4	27	39	【上班天气】预计早晨6-9时，全市阴天，局部有零星小雨；气温13-16℃；相对湿度65%-80%；东北风3级，沿海和高地阵风7级左右；能见度普遍在10公里以上。 深圳市气象台2019年01月16日05时38分发布。 	182	否	
01-16	7	14	29	【今日天气】我市阴天间多云，局部有小雨；气温13-18℃；东北风3级，沿海和高地阵风7级；相对湿度50%-80% 深圳市气象台2019年01月16日05时26分发布。 	139	否	
01-16	1	4	20	【深圳市大风提示】受冷空气影响，我市沿海和高地偏北风较大，最大阵风可达7级左右；其余地区阵风可达5-6级。预计大风将持续1天，请注意防风。深圳市气象台2019年01月16日05时40分发布网页链接 	189	否	
01-15	3	65	68	起风了 不知不觉中冷空气已经来到了我们身边 一扫多日的灰霾 陆地最大阵风达到6级 沿海和高地最大阵风达到7级 目前全市气温普遍在16-17摄氏度 到明早 气温还会继续走低 大家注意保暖 夜深了 裹紧自己的小被子 晚安😘好梦 	216	否	
01-15	10	57	111	冷空气夜间侵袭，明天最低气温13度左右，长袖＋外套的搭配在明天肯定不会觉得热了，至于穿什么，明早起床把手伸出窗外感受下再自行决定吧 	128	否	
01-15	8	76	76	冷空气前锋已经逼近广州，北风正在逐渐加大，要与持续多日的雾和霾告别啦！ 	80	否	
01-15	2	46	55	冷空气到来，明早出门要加衣服啦，当然本次冷空气和去年12月底的那股相比，还是有差距的。	0	是	一扫前几日的阴霾@深圳天气 深圳·盐田港 
01-15	4	52	48	目前冷空气正在一点点的南下渗透影响我市，预计明天阴天，有分散小雨，气温13-18℃，东北风3级，沿海和高地阵风6-7级；今天夜间依旧有轻雾和灰霾的影响，同时气温也逐步下降，早晚较凉，小伙伴们注意添衣保暖哦~ 	208	否	
01-15	8	20	30	广而告之~~~	0	是	【运营公告】因市民中心大型活动需要，近期市民中心附近地铁站将采取客流管控措施。1、1月17日—20日、1月28日至2月5日期间，市民中心站E出入口将关闭。2、1月19日18:00-23:00时、2月4日18:00-次日0:30时段 ，市民中心站除A出入口正常开放外，其余出入口均关闭，临近相关出入口的闸机也将暂停使用。3、在此期间，临近的福田站、少年宫站将视现场客流情况，随时采取客流管控措施。【提醒】请市民乘客提前做好出行安排，听从工作人员的指引，有序乘车。
01-15	1	46	18	【下班天气】预计17-20时，全市阴天，有轻雾和零星小雨；气温19-21℃；相对湿度80%-100%；东到东南风2-3级；全市能见度普遍在2-5公里之间。受轻雾和小雨影响，能见度较低，注意交通安全。 深圳市气象台2019年01月15日16时22分发布。网页链接 	233	否	
01-15	3	22	26	【深圳市天气提示】16-17日天气清凉：16-17日受冷空气影响，阴天，间中有小雨，气温下降，最低气温12℃左右，沿海和高地阵风6-7级，16日气温13-18℃；18-20日间中有小雨，气温回升；21日阴天有小雨转多云，气温下降；22日起天气晴朗干燥。请注意低能见度对海陆交通的影响，气温网页链接 	275	否	
01-15	1	53	40	随着全市的小雨渐渐停歇，太阳公公好像也探出了脑袋，不少地方从云隙中露出了丝缕阳光，全市大部依然以轻雾为主，西北部地区出现了轻微和轻度灰霾，能见度依然不太理想。预计明天久违的冷空气将南下，降温幅度虽然没有年底那次寒潮过程来的“凶猛”，但秋衣秋裤还是可以考虑拿出来了哈~[炸鸡啤酒] 	275	否	
01-15	1	57	47	#午间天气# 预计今天中午-傍晚，我市阴天，有分散小雨，气温17-20℃，相对湿度80%-100%，依然轻雾缭绕~雨天路滑，能见度较差，小伙伴们出行务必小心路滑，注意安全！注意安全！注意安全！重要的事情说三遍~~~那么今早出行的娃们 你们今天迟到了吗 	234	否	
